IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ROZWITA,KOBIETA,482
EMA,KOBIETA,479
MADINA,KOBIETA,476
IZOLDA,KOBIETA,474
PAOLA,KOBIETA,474
ROSE,KOBIETA,469
ZLATOSLAVA,KOBIETA,468
AISHA,KOBIETA,464
SYLWESTRA,KOBIETA,463
MARYANA,KOBIETA,462
GRACE,KOBIETA,460
ANNA-MARIIA,KOBIETA,459
RADOSŁAWA,KOBIETA,459
SHARON,KOBIETA,459
MARGOT,KOBIETA,458
ZARINA,KOBIETA,458
EMILIYA,KOBIETA,457
NATIA,KOBIETA,457
WILHELMINA,KOBIETA,456
AMELIE,KOBIETA,455
VASILISA,KOBIETA,455
DEBORA,KOBIETA,453
LADA,KOBIETA,452
JULIE,KOBIETA,450
IULIA,KOBIETA,448
ANNE,KOBIETA,447
SOLOMIYA,KOBIETA,446
IEVGENIIA,KOBIETA,445
INESSA,KOBIETA,445
LIDIYA,KOBIETA,442
AMELIIA,KOBIETA,440
CAMILA,KOBIETA,435
LIUBOU,KOBIETA,434
MIKA,KOBIETA,434
JELENA,KOBIETA,431
CARLA,KOBIETA,430
ERNESTYNA,KOBIETA,429
HELEN,KOBIETA,425
LANA,KOBIETA,423
ISMENA,KOBIETA,420
NADINE,KOBIETA,416
VIVIENNE,KOBIETA,416
THỊ,KOBIETA,415
ADI,KOBIETA,414
INGRIDA,KOBIETA,414
ESTHER,KOBIETA,413
GRACJA,KOBIETA,413
KLAVDIIA,KOBIETA,413
JESICA,KOBIETA,411
LUKRECJA,KOBIETA,411
ANIDA,KOBIETA,410
ZEYNEP,KOBIETA,409
DELFINA,KOBIETA,408
MALIKA,KOBIETA,407
ANDŻELINA,KOBIETA,404
BETINA,KOBIETA,404
LORENA,KOBIETA,404
LARISSA,KOBIETA,403
KSYMENA,KOBIETA,400
LYUDMILA,KOBIETA,400
ARIA,KOBIETA,394
LOLITA,KOBIETA,394
MARYAM,KOBIETA,393
ROSA,KOBIETA,392
ASTRID,KOBIETA,389
TEONA,KOBIETA,388
SOFYA,KOBIETA,387
YESENIIA,KOBIETA,387
JOHANNA,KOBIETA,385
YULIANNA,KOBIETA,385
LEAH,KOBIETA,384
YEVDOKIIA,KOBIETA,380
EMILIE,KOBIETA,379
REBECCA,KOBIETA,378
EUFEMIA,KOBIETA,377
NADEZHDA,KOBIETA,377
FRYDERYKA,KOBIETA,375
IWETTA,KOBIETA,375
LUDOMIRA,KOBIETA,374
ZENAIDA,KOBIETA,374
LYDIA,KOBIETA,373
MEGAN,KOBIETA,373
NADEJDA,KOBIETA,367
NILA,KOBIETA,366
PETRONELA,KOBIETA,366
LIUBOMYRA,KOBIETA,365
CAMILLA,KOBIETA,364
CORNELIA,KOBIETA,362
FATMA,KOBIETA,362
BELLA,KOBIETA,360
NICOLETTA,KOBIETA,360
SHIRA,KOBIETA,360
IWETA,KOBIETA,359
LUBOW,KOBIETA,359
MALVINA,KOBIETA,358
ALESSIA,KOBIETA,356
FLORA,KOBIETA,356
LIIA,KOBIETA,354
ŻANNA,KOBIETA,354
NOELIA,KOBIETA,353
ZOSIA,KOBIETA,351
ESTER,KOBIETA,347
KATARINA,KOBIETA,346
MARÍA,KOBIETA,346
ELENI,KOBIETA,345
LUBOV,KOBIETA,345
KATIA,KOBIETA,344
NARCYZA,KOBIETA,343
RONI,KOBIETA,343
OLESYA,KOBIETA,342
ALESSANDRA,KOBIETA,341
KESJA,KOBIETA,340
MARIAMI,KOBIETA,340
BENIGNA,KOBIETA,339
KARINE,KOBIETA,338
THI,KOBIETA,338
CYRYLA,KOBIETA,337
MARINE,KOBIETA,336
URSULA,KOBIETA,335
AYA,KOBIETA,334
STEPANIIA,KOBIETA,333
SALOME,KOBIETA,332
SOFIE,KOBIETA,331
PETRA,KOBIETA,330
YASMINA,KOBIETA,330
ANAT,KOBIETA,329
BIBIANNA,KOBIETA,328
CYNTHIA,KOBIETA,328
KIARA,KOBIETA,328
VIVIANA,KOBIETA,328
ZARA,KOBIETA,327
VLADLENA,KOBIETA,326
SOLOMIA,KOBIETA,325
SUSAN,KOBIETA,325
SUSANNE,KOBIETA,325
KHATUNA,KOBIETA,324
RACHELA,KOBIETA,324
ASIA,KOBIETA,323
EVELYN,KOBIETA,323
IRIS,KOBIETA,323
ANICETA,KOBIETA,322
DANIELLA,KOBIETA,319
WALTRAUDA,KOBIETA,318
LIUBA,KOBIETA,317
ANDRZELIKA,KOBIETA,316
NASTAZJA,KOBIETA,316
ADEL,KOBIETA,315
SONJA,KOBIETA,315
BEATRIZ,KOBIETA,314
ANJA,KOBIETA,312
MERVE,KOBIETA,312
